Behavior,Behavior is the way an organism reacts to changes to its internal or external environment.
Behavior,Behavior is anything an animal does in response to a stimulus.
Innate behavior,Innate behavior: It is also called instinct or inborn behavior.
Innate behavior,Innate behaviors appear in fully functional form the first time they are performed even though the animal has had no previous experience with the stimuli to which it responds.
Taxis,Taxis: is an innate behavioral response by an organism to a directional stimulus.
Phototaxis,Phototaxis: is the movement of an organism in response to light.
Suckling,Suckling: Suckling to get milk is an innate behavior of mammals.
Migration,Migration is the instinctive seasonal movement of animals.
Estivation,Estivation: Is a state of a reduced metabolism that occurs in animals living in conditions of intense heat.
Hibernation,Hibernation is a state in which the body temperature drops substantially and oxygen consumption decreases.
Learned behavior,Learned behavior: There are some behaviors that animals are not born with. These behaviors are learned.
Habituation,Habituation: occurs when an animal is repeatedly given a stimulus that is not associated with any punishment or reward.
Imprinting,Imprinting: A form of learning in which an animal forms a social attachment to another object at a specific critical time of its life.
Classical conditioning,Classical conditioning: Learning by association.
Operant conditioning,Operant conditioning: Trial and error.
Social behavior,Animals exhibit social behavior when they interact with members of their own species.
Communication,Communication: Passing information from one individual to another.
Pheromones,These chemicals are known as pheromones.
Territorial defense,A territory is a physical space an animal defends against other members.
Natural Selection,Process where organisms better adapted survive.
Genetic Drift,Random changes in allele frequencies in populations.
Speciation,Evolution of new species from existing ones.
Gene Pool Separation,Isolation of gene pools necessary for speciation.
Reproductive Isolation,Inability of populations to interbreed successfully.
Behavioral Isolation,Different mating behaviors prevent interbreeding.
Geographic Isolation,Physical barriers separate populations preventing mating.
Temporal Isolation,Populations reproduce at different times preventing mating.
Extinction,Complete loss of a species from existence.
Adaptive Radiation,Diversification of species from a common ancestor.
Convergent Evolution,Unrelated species evolve similar traits independently.
Coevolution,Species evolve in response to each other.
Punctuated Equilibrium,Evolution occurs in rapid bursts followed by stability.
Endosymbiotic Theory,Eukaryotic cells evolved from prokaryotic symbiosis.
Chloroplast,Organelle in plants for photosynthesis derived from prokaryotes.
Mitochondrion,Organelle for energy production in eukaryotic cells.
Yucca Moth,Pollinator of Yucca plants example of coevolution.
Acacia Ants,Protect Acacia plants illustrating coevolution.
Antibiotic Resistance,Bacteria evolve to survive antibiotic treatments.
Primitive Eukaryote,Early eukaryotic cells evolved from prokaryotes.
Nuclear Envelope,Membrane surrounding the nucleus in eukaryotic cells.
Natural Selection,Process where organisms better adapted survive.
Population Variation,Differences within a species e.g. beetle colors.
Adaptation,Trait enhancing survival and reproduction.
Allele,Variant form of a gene.
Evolution,Change in population traits over generations.
Genetic Variation,Differences in DNA among individuals.
Gene Pool,Combined genetic information of a population.
Population,Group of interbreeding individuals of a species.
Hybrid,Offspring of different species e.g. pizzlies.
Mutation,Change in DNA sequence affecting traits.
Sources of Variation,Mutation and gene shuffling are primary sources.
Gene Shuffling,Mixing of genes during meiosis.
Natural Selection on Single-Gene Traits,Changes allele frequency based on trait fitness.
Directional Selection,Favors one extreme phenotype over others.
Stabilizing Selection,Favors average phenotypes reducing extremes.
Disruptive Selection,Favors extreme phenotypes creating two peaks.
Genetic Drift,Random changes in allele frequencies in small populations.
Founder Effect,Genetic drift occurring in a new habitat.
Bottleneck Effect,Population size reduction affecting genetic diversity.
Phenotype,Observable traits of an organism.
Fitness,Ability to survive and reproduce.
Silent Mutation,Mutation that does not affect phenotype.
Crossing Over,Exchange of genetic material during meiosis.
Independent Assortment,Random distribution of alleles during gamete formation.
MRSA,Methicillin-resistant Staphylococcus aureus infection.
Antibiotic Resistance,Bacteria's ability to survive antibiotic treatment.
Evolution,Change in population over time.
Mutation,Genetic changes leading to new traits.
Lamarck's Hypothesis,Theory of Use and Disuse proposed in 1815.
Darwin's Theory,Theory of evolution by natural selection.
Charles Darwin,Naturalist who proposed evolution theory.
HMS Beagle,Ship Darwin sailed to Galapagos Islands.
Species Vary Globally,Different species occupy similar environments worldwide.
Species Vary Locally,Different species inhabit varied local habitats.
Species Vary Over Time,Fossils show changes in species over time.
Natural Selection,Process where organisms with adaptations survive.
Struggle for Existence,More offspring produced than can survive.
Variation and Adaptations,Heritable traits that enhance survival and reproduction.
Fitness,Ability to survive and reproduce in environment.
Mimicry,Species resembles another for increased survival.
Camouflage,Adaptation to blend into the environment.
Descent with Modification,Process of evolution through natural selection.
Fossils,Preserved remains showing evolutionary stages.
Homologous Structures,Similar structures in related species from ancestors.
Vestigial Structures,Inherited structures with reduced or no function.
Embryology,Similar early development patterns in vertebrates.
Biochemical Similarities,DNA and protein similarities across species.
Cytochrome c,Homologous protein found in many organisms.
Pesticide Resistance,Pests survive pesticide application through adaptation.
Alfred Wallace,Naturalist who summarized Darwin's evolutionary ideas.
Origin of Species,Darwin's book proposing natural selection mechanism.
Population,A group of organisms of the same species that live in a particular area
Population ecology,The study of how and why populations change
Geographic distribution,It describes the area inhabited by a population
Density,It is the number of individuals per unit area. This number can vary tremendously depending on the species and its ecosystem
Growth rate,Population growth depends on three factors: Number of deaths Number of births Number of individuals that enter (Immigration) or leave (Emigration) the population
Exponential growth,It occurs when population has abundant space and food and is protected from predators and diseases. It occurs when individuals in population reproduce at a constant rate.
Logistic growth,Logistic growth occurs when the population growth slows following a period of exponential growth.
Carrying capacity,Number of individuals in a population that an environment can support over time.
Limiting factors,In natural world there are many factors that can slow the growth of population these are called limiting factors
Density-dependent limiting factor,A limiting factor that depends on population size is called a density-dependent limiting factor
Competition,When populations become crowded organisms compete with each other for food & water space & sunlight & and other essentials
