Information Technology (IT) system,A system that processes stores and transfers information.
IT networks,Networks that allow us to distribute and share information quickly.
Computer,A system that manipulates data according to a set of instructions.
Hardware,The devices and components that make up a computer system.
Operating System (OS),A basic software environment established by the computer.
Software applications,Programs such as word processors spreadsheet programs and payroll programs that can be installed within the OS.
Central Processing Unit (CPU),Retrieves each instruction or data file from memory and processes it.
Random Access Memory (RAM),Temporary storage.
Transistors,Components that make up CPU and RAM.    
Ones and Zeros,Represented as on and off in transistors.
Server,Any computer providing services to other computers usually implying a powerful computer that supports multiple users simultaneously.
Laptop computer,A computer that integrates the display system components and input/output devices within a single portable case.
Original Equipment Manufacturers (OEM),Companies producing PCs and laptops.
Smartphone,A device with roughly the same functionality as a personal computer that can be held in one hand.
Internet of Things (IoT),A world in which many different types of things are embedded with processing and networking functionality.
Thermostats,Devices that monitor and adjust HVAC controls from an app installed on your phone.
Security systems,Systems that monitor and control alarms locks lighting and videophone entry systems remotely.
IP cameras,Cameras often used for security.
Home appliances,Devices that can check the contents of your refrigerator from your smartphone or start the washing machine cycle remotely.
Streaming media,Content played through any smart speaker or TV connected to the home network.
Ergonomics,The study of factors affecting the performance of people at work.
Repetitive Strain Injury (RSI),A condition that occurs when the same task is carried out repeatedly for a long period causing symptoms like muscle pain and numbness.
Power-On Self-Test (POST),A test performed by the computer to check that the main components work before loading the operating system.
Shell,Provides an interface between the user and the computer allowing configuration of hardware and management of software applications.
64-bit CPU,Can run either 64-bit operating systems and applications or a 32-bit operating system and applications.
32-bit CPU,Cannot run 64-bit operating systems or applications.
Workstation OS,An operating system that runs a traditional desktop PC or laptop such as Microsoft Windows or Linux.
Commercial OS,An operating system that requires a purchased license to install and use.
Open source,Software whose programming code is freely available.
Embedded system,A computer or appliance designed for a very specific function.
Firmware,Software that is not designed to be continually changed though it can support infrequent updates.
Basic Input/Output System (BIOS),Provides industry standard firmware that operates the essential components of the PC.
Unified Extensible Firmware Interface (UEFI),Provides support for 64-bit CPU operation at boot and better boot security.
Virtualization,Allows multiple operating systems to be installed and run simultaneously on a single computer.
Hypervisor,Manages the virtual machine environment and facilitates interaction with the host hardware.
Type I hypervisor,Installed directly on the computer and interacts directly with its hardware.
Type II hypervisor,Runs as a software application within a host operating system.
Guest operating systems,Operating systems installed under the virtual environment.
Troubleshooting,The process of problem solving involving identifying problems researching and implementing solutions.
Troubleshooting model,A structured approach to solving problems including steps like identifying the problem and verifying system functionality.
Notational systems,Systems used to represent values and quantities including decimal binary and hexadecimal.
Decimal,A system based on expressing ten different numbers using digits in the range 0 to 9.
Binary,A numbering system where each digit can express only two values in the range 0 to 1.
Hexadecimal,A system used to express large numbers more efficiently often used in IPv6 addresses.
Byte,The first multiple of bits consisting of eight bits.
Double byte,A multiple of bits consisting of 16 bits.
KiloByte (KB),1000 bytes (or 103 or 10*10*10 bytes). Small files are often measured in KB.
MegaByte (MB),1000*1000 bytes (or 1000000 bytes). Many files would be measured in megabytes.
GigaByte (GB),1000*1000*1000 bytes (1000000000 bytes). Gigabytes are usually used to talk about disk capacity.
TeraByte (TB),1000 GB (1000000000000 bytes). Some individual disk units might be 1 or 2 terabytes but these units are usually used to describe large storage networks.
PetaByte (PB),1000 TB or 1015 bytes (1000000000000000 bytes). The largest storage networks and cloud systems would have petabytes of capacity.
KibiByte (KiB),1024 bytes (210 bytes).
MebiByte (MiB),1024*1024 bytes (or 1048576 bytes).
GibiByte (GiB),1024*1024*1024 bytes (1073741824 bytes).
Kbps (or Kb/s),1000 bits per second. Older computer peripheral interfaces (or buses) and slow network links would be measured in Kbps.
Mbps (or Mb/s),1000000 bits per second. Many internal computer interfaces have throughputs measured in Mbps.
Gbps (or Gb/s),1000000000 bits per second. The latest PC bus standards and networks can support this higher level of throughput.
Tbps (or Tb/s),1000000000000 bits per second. This sort of capacity is found in major telecommunications links between data centers cities and countries.
Megahertz (MHz),1 million (1000000) cycles per second. Older PC bus interfaces and many types of network interface work at this slower signaling speed.
Gigahertz (GHz),1000 million (1000000000) cycles per second. Modern CPUs and bus types plus fiber optic network equipment work at these much faster speeds.
